"count_code"	"postal_code"	"place_name"	"admin_name1"	"admin_code1"	"admin_name2"	"admin_code2"	"admin_name3"	"admin_code3"	"lattitude"	"longitude"	"accuracy"
"131"	"US"	40219	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.1381	-85.6953	4
"132"	"US"	40220	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2149	-85.6245	4
"133"	"US"	40221	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"134"	"US"	40222	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2674	-85.6237	4
"135"	"US"	40223	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2651	-85.5582	4
"136"	"US"	40224	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"137"	"US"	40225	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"138"	"US"	40228	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.1442	-85.6265	4
"139"	"US"	40229	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.0891	-85.6548	4
"140"	"US"	40231	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"141"	"US"	40232	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"142"	"US"	40233	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"143"	"US"	40241	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.3045	-85.5815	4
"144"	"US"	40242	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2785	-85.594	4
"145"	"US"	40243	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2422	-85.5353	4
"146"	"US"	40245	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2683	-85.4845	4
"147"	"US"	40250	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"148"	"US"	40251	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"149"	"US"	40252	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"150"	"US"	40253	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"151"	"US"	40255	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"152"	"US"	40256	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"153"	"US"	40257	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"154"	"US"	40258	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.1457	-85.8641	4
"155"	"US"	40259	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2542	-85.7594	4
"156"	"US"	40261	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"157"	"US"	40266	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"158"	"US"	40268	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"159"	"US"	40269	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"160"	"US"	40270	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2542	-85.7594	4
"161"	"US"	40272	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.0846	-85.851	4
"162"	"US"	40280	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2467	-85.6853	4
"163"	"US"	40281	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"164"	"US"	40282	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"165"	"US"	40283	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"166"	"US"	40285	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"167"	"US"	40287	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"168"	"US"	40289	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2542	-85.7594	4
"169"	"US"	40290	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"170"	"US"	40291	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.1313	-85.5754	4
"171"	"US"	40292	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"172"	"US"	40293	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2542	-85.7594	4
"173"	"US"	40294	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2542	-85.7594	4
"174"	"US"	40295	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2542	-85.7594	4
"175"	"US"	40296	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2542	-85.7594	4
"176"	"US"	40297	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2542	-85.7594	4
"177"	"US"	40298	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2542	-85.7594	4
"178"	"US"	40299	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.1768	-85.5218	4
"179"	"US"	39339	"Louisville"	"Mississippi"	"MS"	"Winston"	159	NA	NA	33.1058	-89.0287	4
